tokipona,sitelenpona,sitelenJuniko,sitelenpilin,sitelenjelo,sitelensitelen,roots,mnemonic,etymology,gloss:Noun,gloss:Verb,gloss:Adjective,pu/ku/kulupu,related,rootsAlt
jasima,,,,🪞🪩,,A O A,similar,tu: YAnSItMAk,reflection; echo,reflect; echo; oppose,mirroring?,,ante sama,
jelo,,☼,💛,🍋,,N ＝ ＝,yellow,YELLOW,(color) yellow / gold [middle of rainbow],,yellowish / golden; [rare] greenish,,kule,
jo,,,👜,,,~ ~ ⩍,有 (zh),zh: 有 YOU,possessions,have; contain; hold / carry; own / possess,owned,,awen ijo,
kala,,,🐟,🐙,,A ＝ L,,fi: KALA,"fish, sea creature, marine animal",,aquatic / marine,,akesi soweli telo,
kalama,,,🔈,👏,,⊹ M,clamour,,sound / noise; voice; recitation,make (noise) / be loud,loud? noisy?,,,
kama,,,⏮️,🛬,,⩍ O ＝,coming,COMing,arrival; the future,come / arrive; happen / occur; cause,coming / imminent?,(future tense),ken open pini,
kan,,,,,,,,,,,,[rare] with,,
kasi,,⚘☘︎,🌴,🌱,,＝ ⊿,grassy,,plant / grass / herb / tree; leaf,,vegetal,,pipi kili soweli,
ken,,K,💪,,,A P ＝,can,CAN,ability; possibility; chance / luck,could / can / allowed to; able; [tr] allow / enable,possible,,kama wile,
kepeken,,,🔧,✍️,,☞ ⩍,,nl: GEBruIKEN,use,use,with-help-of,using; with,ilo,
kijetesantakalu,,ᐇᑂ,,🦡🦝,,U ⩍ U,,,"raccoon, Mustelid",,,(April Fools Day joke),soweli,
kili,,,🍎,,,N O,veggie,ka: XILI,fruit / vegetable / nut; mushroom,fruit,,,kasi moku pipi soweli,
kin,,,❕,*️⃣,,⊿ ~,,,,,also / too; even; indeed / really; moreover / however,"[intj] ""me too""",,
kipisi,,✂︎✄,✂️,,,⊿ ~ ⊿,cut pieces,sw: kipisi; ik: kipriruk,part / piece / portion; separation,split / sever; cut / slice; separate? divide?,,,,
kiwen,,♢,💎,,,E E ＝,,,"metal, stone, hard object",,solid / hard / tough; rocky / stone,,ko telo,
ko,,,🍦,,,O K,clay,zh: KONgqi,powder; clay / semisolid; sticky mass,stick / cling; squash / pulverize,semi-solid; sticky / tacky,,kiwen telo,
kokosila,,,,🐊,,☻ ᴤ M,crocodile,CROKOdILe,,speak non-TokiPona around TokiPonists,,,,
kon,,,💨,,,⩍ P I,,,gas / air; breath; wind; scent; spirit; gender,vaporize / sublimate; breathe onto / do Lion's Breath,gaseous; unseen; breathing,,,
ku,,,,🔬,,,,,The Dictionary; reference material,read Dictionary; look up definition,referencing Dictionary; defining,official book #2,,
kule,,,🌈,,,N ⊹,color,,color,color / paint,colorful; painted; LGBTQ,,,
kulupu,,,👥,,,E M,group,,"group, community, society",form a group / collect together,grouped together; communal / public,,mute,
kute,,,👂,,,T,ecouté (fr),fr: eCOUTEr,ear; hearing,listen / hear; obey,auditory,,lukin sijelo toki,
la,,,🔼,ℹ️,,M _,–la (fr),fr: –LA,,,,"""… as for that, ..."" ; jb: zo'u",,
lanpan,,,,🤳,,A ＝ ⩍,,el: LAVAiNo,,take / seize; catch / receive / get,,,alasa jo,
lape,,,😴,,,U ⊹,sleepy,,sleep / rest,sleep / rest,sleeping / restful,,kulupu,
laso,,,🔵,☘️,,N O ＝,蓝,,(color) green / blue [end of rainbow],,green; blue,,kule,
lawa,,,😶,👑,,O ⩍ ⊿,,sh: gLAVA,mind / head; ruler / leader / boss / controller,lead / control / rule; regulate / plan,in charge / dominant / leading,,anpa sijelo sinpin,
leko,,,🧱,,,E □,lego,LEGO,"block, square, stairs",,,,sike,
len,,,👕,🧣,,~ □,,,cloth / fabric; clothes; privacy screen / layer,weave / sew; clothe / wear clothes; make private / secret,private,,,
lete,,⚹ӿ✳*✶,❄️,,,N ⊿,,fr: fROITe,coldness,chill / freeze / cool down,cold; raw / uncooked,,,
li,,〉,▶️,,,[,,,,,,... is / does ... (subj / pred separator); jb: CU,e,
lili,,ᵥ∨⋎⌵𝗏v˅ⅴ,🐜,🐁,,O U U,little,,smallness; paucity; unimportance,reduce / lessen / shrink; shorten,little / small; short; small amount / few; young; unimportant,,mute suli,
linja,,~,〰️,🧶,,~ ⩍,line,,"string, rope, hair, long flexible object; [rare] Internet connection",linearize,linear; flexible / floppy / yielding?; hairy,,,
linluwi,,,🌐,,,,,,Internet; [rarer] connection; interface; connection,,,,,
lipu,,◻,📄,🍁,,P ~,leaf,fi: LIPPU,document / paper / book / medium of storage; website; flat surface; reference?,document / transcribe,written? recorded?,,,
loje,,,🔴,👅,,N ＝ E,,nl: ROOIE,(color) red [beginning of rainbow],redden,reddish / rufous,,kule,
lon,,∸,📍,⏺️✅,,[ ⊿ L,on,ON,truth; existence; reality?,exist / be present / be real; be awake; [tr] create / actualize; prove,current / now; real / actual / existent / true,"located in / at / on; [intj] ""yes / true""",ala,
luka,,᠕᠒,✋,🖐️,,U K ⩍,,sh: RUKA,"hand, arm",touch / press / manipulate with hand,,5 five,insa monsi noka poka sewi sijelo,☞
lukin,,⊙,👀,,,O J,looking,,eye; sight,look / see; examine; read; try / seek to,visual; ocular,,alasa kute oko sijelo sitelen toki,
